ID_Ra;Navn;CO2;Energi;Fedt;Kulhydrat;Protein
Ra00154;Cauliflower. all varieties. raw;0.63;116;0.4;1.9;2.4
Ra00155;Broccoli. raw;0.63;148;0.2;2.1;3.6
Ra00156;Kale. raw;0.29;252;1.1;2;4.7
Ra00157;Cabbage. white. raw;0.29;133;0.2;4.5;1.2
Ra00158;Brussels sprouts. raw;0.29;223;0.5;4.4;4.5
Ra00159;Cabbage. red. raw;0.29;133;0.2;4;1.5
Ra00160;Cabbage. spring. raw;0.29;112;0.3;3;2
Ra00161;Spinach. raw;0.48;102;0.6;0.2;2.6
Ra00162;Artichoke. raw;0.98;218;0.1;8.1;3.3
Ra00163;Asparagus. green. raw;1.08;109;0.3;3.1;1.8
Ra00164;Lettuce. iceberg (incl. crisphead types). raw;0.46;65;0.1;2.4;0.8
Ra00165;Lettuce. looseleaf. raw;0.46;63;0.1;1.5;1.4
Ra00166;Cabbage. Chinese. pak-choi. raw;0.29;61;0.2;1.2;1.5
Ra00167;Cabbage. savoy. raw;0.29;113;0.1;3;2
Ra00168;Cauliflower. frozen;0.82;115;0.3;3.7;2
Ra00169;Leek. raw;0.43;146;0.2;3.7;2
Ra00170;Spinach. chopped. frozen;0.64;108;0.5;2.2;2.1
Ra00171;Broccoli. frozen;0.82;113;0.3;1.8;2.8
Ra00172;Beans. wax. raw;0.95;148;0.2;5.3;2.1
Ra00173;Peas. green. raw;1.27;294;0.7;6.5;5.9
Ra00174;Green lentils. dried;3.08;1466;2.5;53.2;26.2
Ra00175;Peas. chick/garbanzo. dry. raw;3.60;1541;6.9;45.9;20.4
Ra00176;Beans. green. raw;0.95;126;0.2;5.9;1.9
Ra00177;Bean sprouts. mung. raw;0.95;143;0.2;4.1;3
Ra00178;Bean sprouts. average values. raw;0.95;157;0.3;5.1;3
Ra00179;Sugar pea (Snow pea. Mangetout) raw;1.34;202;0.3;6.4;3.8
Ra00180;Beans. soy. dried. raw;1.84;1720;18.4;17.5;35.8
Ra00181;Peas. green. frozen;1.62;310;0.7;8.4;6.1
Ra00182;Water. bottled. carbonated;0.19;17;0;0;0
Ra00183;Soft drink. sugar added;0.59;170;0;9.9;0
Ra00184;Apple juice. canned or bottled;1.68;204;0.1;10.2;0.1
Ra00185;Sherry. dry;2.91;487;0;1.3;0.2
Ra00186;Liqueur. coffee with cream;3.56;1382;15.7;20;2.8
Ra00187;Margarine. 70 % fat. table use. soft. vegetable fat;2.49;2806;70.6;0;0.8
Ra00188;Garfish. raw;2.63;450;3.2;0;19.5
Ra00189;Salmon. Atlantic. wild. raw;2.09;666;7.5;0;18.4
Ra00190;Mackerel. raw;1.98;780;12.9;0;17.8
Ra00191;Plaice. raw;2.81;369;1.9;0;17.5
Ra00192;Herring. raw;2.23;784;13.6;0;16.5
Ra00193;Saithe. raw;2.81;333;0.7;0;18.1
Ra00194;Cod. fillet. raw;2.81;320;0.6;0;17.6
Ra00195;Plaice. fillet. breaded. dybfrost;2.45;577;1.1;19.1;11.9
Ra00196;Saithe (UK). pollock (US). fillet. frozen;2.71;387;0.9;0;20.5
